,text,isHate,dataset
0,You should know women's sports are a joke,1,ethos
1,You look like Sloth with deeper Down’s syndrome,1,ethos
2,You look like Russian and speak like Indian. Both are disgusting go kill yourself,1,ethos
3,"Women deserve to be abused, I guess.",1,ethos
4,Women are made for making babies and cooking dinner and nothing else!!!,1,ethos
5,why haven't you faggots taken the bi-pill yet,1,ethos
6,Why don’t you go beck your god to murder you? Christianity is a joke,1,ethos
7,why does that african american monkey hold gun like that?,1,ethos
8,Why does Bulgaria exist as a country? It's one of those homosexual ones.,1,ethos
9,Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,1,ethos
10,who gives aa fuck about shit diamonds from the jews fuck them both,1,ethos
11,Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat,1,ethos
12,white people are shit human beings,1,ethos
13,what happened in the good old days when these freaks did not exist ? which sewer have these freaks dragged themselves out of ? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman . it takes more than that to be a woman . stop pandering to these twats .,1,ethos
14,What about a global massacre of men? Pussiezzz only girls,1,ethos
15,what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !,1,ethos
16,well it's clear now why europeans can't differ niggers and shitskins from human,1,ethos
17,"Well im glad that i live in Serbia, migrants and islamists are not welcome here!",1,ethos
18,"Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.",1,ethos
19,"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",1,ethos
20,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",1,ethos
